time;input_rate
0;340
1;469
2;541
3;378
4;396
5;405
6;423
7;441
8;450
9;468
10;486
11;500
12;513
13;531
14;545
15;558
16;576
17;590
18;608
19;621
20;635
21;653
22;666
23;680
24;698
25;716
26;725
27;743
28;761
29;770
30;788
31;806
32;824
33;833
34;851
35;869
36;896
37;923
38;950
39;981
40;1008
41;1035
42;1062
43;1094
44;1125
45;1152
46;1184
47;1211
48;1238
49;1265
50;1296
51;1323
52;1350
53;1377
54;1409
55;1440
56;1467
57;1499
58;1526
59;1553
60;1580
61;1611
62;1638
63;1665
64;1692
65;1728
66;1755
67;1782
68;1814
69;1841
70;1868
71;1895
72;1931
73;1958
74;1994
75;2025
76;2052
77;2088
78;2120
79;2151
80;2183
81;2219
82;2246
83;2277
84;2313
85;2340
86;2376
87;2408
88;2435
89;2471
90;2502
91;2534
92;2565
93;2601
94;2628
95;2660
96;2696
97;2723
98;2759
99;2790
100;2817
101;2853
102;2880
103;2916
104;2948
105;2975
106;3011
107;3042
108;3060
109;3083
110;3101
111;3123
112;3141
113;3164
114;3186
115;3200
116;3222
117;3240
118;3263
119;3281
120;3303
121;3321
122;3344
123;3357
124;3380
125;3398
126;3420
127;3443
128;3461
129;3483
130;3501
131;3524
132;3537
133;3560
134;3578
135;3600
136;3618
137;3641
138;3659
139;3681
140;3695
141;3717
142;3740
143;3758
144;3758
145;3758
146;3758
147;3758
148;3758
149;3758
150;3758
151;3758
152;3758
153;3758
154;3758
155;3758
156;3758
157;3758
158;3758
159;3758
160;3758
161;3758
162;3758
163;3758
164;3758
165;3758
166;3758
167;3758
168;3758
169;3758
170;3758
171;3758
172;3758
173;3758
174;3758
175;3758
176;3758
177;3758
178;3758
179;3758
180;3740
181;3726
182;3708
183;3690
184;3672
185;3659
186;3641
187;3627
188;3614
189;3596
190;3578
191;3560
192;3546
193;3528
194;3510
195;3492
196;3479
197;3461
198;3443
199;3425
200;3411
201;3393
202;3375
203;3357
204;3344
205;3326
206;3312
207;3299
208;3281
209;3263
210;3245
211;3231
212;3213
213;3195
214;3177
215;3164
216;3164
217;3141
218;3119
219;3087
220;3065
221;3042
222;3020
223;2997
224;2970
225;2948
226;2925
227;2903
228;2876
229;2853
230;2937
231;2937
232;2937
233;2937
234;2714
235;2691
236;2669
237;2637
238;2615
239;2592
240;2570
241;2547
242;2520
243;2498
244;2475
245;2453
246;2426
247;2403
248;2381
249;2358
250;2336
251;2309
252;2286
253;2268
254;2246
255;2223
256;2201
257;2178
258;2156
259;2133
260;2111
261;2088
262;2066
263;2043
264;2021
265;1998
266;1976
267;1953
268;1931
269;1908
270;1886
271;1863
272;1845
273;1814
274;1778
275;1751
276;1715
277;1688
278;1661
279;1625
280;1598
281;1571
282;1544
283;1512
284;1490
285;1463
286;1436
287;1413
288;1386
289;1364
290;1341
291;1319
292;1296
293;1274
294;1251
295;1229
296;1206
297;1188
298;1166
299;1148
300;1125
301;1107
302;1094
303;1094
304;1094
305;1094
306;1094
307;1094
308;1094
309;1094
310;1094
311;1098
312;1098
313;1098
314;1098
315;1098
316;1098
317;1098
318;1098
319;1098
320;1098
321;1103
322;1103
323;1103
324;1103
325;1103
326;1103
327;1103
328;1103
329;1103
330;1103
331;1305
332;1305
333;1305
334;1310
335;1310
336;1310
337;1319
338;1319
339;1323
340;1323
341;1328
342;1328
343;1332
344;1341
345;1346
346;1350
347;1355
348;1364
349;1368
350;1377
351;1386
352;1391
353;1400
354;1409
355;1418
356;1422
357;1436
358;1445
359;1458
360;1467
361;1481
362;1490
363;1503
364;1512
365;1526
366;1535
367;1553
368;1566
369;1580
370;1593
371;1611
372;1620
373;1638
374;1656
375;1670
376;1688
377;1706
378;1724
379;1737
380;1755
381;1773
382;1796
383;1814
384;1827
385;1850
386;1872
387;1890
388;1913
389;1935
390;1958
391;1976
392;1998
393;2021
394;2048
395;2070
396;2093
397;2115
398;2142
399;2165
400;2187
401;2219
402;2246
403;2268
404;2295
405;2322
406;2354
407;2381
408;2408
409;2435
410;2466
411;2493
412;2520
413;2556
414;2583
415;2610
416;2646
417;2678
418;2705
419;2741
420;2772
421;2808
422;2835
423;2871
424;2907
425;2943
426;2975
427;3011
428;3042
429;3083
430;3119
431;3150
432;3186
433;3222
434;3258
435;3290
436;3326
437;3348
438;3371
439;3393
440;3416
441;3438
442;3461
443;3479
444;3501
445;3501
446;3524
447;3546
448;3569
449;3591
450;3614
451;3636
452;3659
453;3672
454;3695
455;3717
456;3740
457;3762
458;3785
459;3807
460;3830
461;3852
462;3870
463;3893
464;3915
465;3938
466;3960
467;3983
468;4005
469;4068
470;4068
471;4091
472;4113
473;4113
474;4113
475;4113
476;4113
477;4113
478;4113
479;4113
480;4113
481;4113
482;4113
483;4113
484;4113
485;4113
486;4113
487;4113
488;4113
489;4113
490;4113
491;4113
492;4113
493;4113
494;4113
495;4113
496;4113
497;4113
498;4113
499;4113
500;4113
501;4113
502;4113
503;4113
504;4113
505;4113
506;4113
507;4113
508;4113
509;4095
510;4077
511;4055
512;4041
513;4023
514;4005
515;3983
516;3965
517;3951
518;3933
519;3915
520;3893
521;3875
522;3861
523;3843
524;3821
525;3803
526;3785
527;3771
528;3749
529;3731
530;3713
531;3695
532;3672
533;3659
534;3641
535;3623
536;3600
537;3582
538;3569
539;3551
540;3528
541;3510
542;3492
543;3479
544;3461
545;3434
546;3402
547;3380
548;3353
549;3326
550;3303
551;3276
552;3254
553;3222
554;3195
555;3173
556;3146
557;3119
558;3096
559;3065
560;3042
561;3015
562;2988
563;2966
564;2939
565;2907
566;2885
567;2858
568;2831
569;2808
570;2781
571;2759
572;2727
573;2700
574;2678
575;2651
576;2624
577;2601
578;2570
579;2547
580;2520
581;2498
582;2471
583;2448
584;2426
585;2399
586;2376
587;2354
588;2322
589;2300
590;2277
591;2250
592;2228
593;2205
594;2178
595;2156
596;2133
597;2106
598;2084
599;2061
600;2030
601;2007
602;1985
603;1958
604;1935
605;1913
606;1886
607;1863
608;1841
609;1818
610;1796
611;1773
612;1755
613;1733
614;1710
615;1692
616;1670
617;1656
618;1634
619;1616
620;1593
621;1575
622;1557
623;1535
624;1521
625;1503
626;1485
627;1467
628;1454
629;1436
630;1418
631;1400
632;1386
633;1373
634;1355
635;1341
636;1323
637;1310
638;1296
639;1283
640;1265
641;1256
642;1242
643;1229
644;1215
645;1206
646;1193
647;1175
648;1166
649;1152
650;1143
651;1130
652;1121
653;1121
654;1116
655;1103
656;1094
657;1080
658;1076
659;1062
660;1053
661;1049
662;1035
663;1031
664;1017
665;1013
666;1008
667;1004
668;990
669;986
670;981
671;972
672;968
673;963
674;959
675;950
676;945
677;941
678;941
679;936
680;927
681;927
682;923
683;923
684;918
685;788
686;783
687;779
688;779
689;770
690;770
691;765
692;765
693;765
694;765
695;765
696;765
697;765
698;770
699;770
700;779
701;779
702;783
703;788
704;792
705;792
706;801
707;810
708;815
709;824
710;828
711;837
712;846
713;855
714;869
715;878
716;891
717;900
718;914
719;923
720;936
721;945
722;963
723;972
724;990
725;1004
726;1017
727;1035
728;1053
729;1071
730;1085
731;1103
732;1125
733;1143
734;1161
735;1184
736;1206
737;1220
738;1242
739;1265
740;1287
741;1310
742;1332
743;1355
744;1386
745;1409
746;1431
747;1458
748;1485
749;1508
750;1535
751;1566
752;1593
753;1620
754;1647
755;1683
756;1710
757;1746
758;1773
759;1805
760;1836
761;1868
762;1904
763;1935
764;1971
765;2003
766;2039
767;2075
768;2111
769;2142
770;2183
771;2223
772;2255
773;2295
774;2336
775;2376
776;2412
777;2453
778;2498
779;2538
780;2579
